index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
36,DSB Iba1 22_40X_CA1,1.6111111111111112,2.071428571428572,1.4962406015037597,2.094736842105263,14,4,18,133,1.2415885925292969,6.178569793701172,CA1,22,2041,female,APP/PS1,good,optimal,optimal,True
37,DSB Iba1 22_40X_CA3,1.5,1.8,1.2644628099173554,2.095890410958904,5,1,6,121,1.2543678283691406,3.7606239318847656,CA3,22,2041,female,APP/PS1,good,optimal,optimal,True
38,DSB Iba1 22_40X_CTX1,1.9090909090909087,3.0,1.3842794759825328,2.12751677852349,7,4,11,229,1.403045654296875,3.637123107910156,CTX1,22,2041,female,APP/PS1,good,optimal,optimal,True
39,DSB Iba1 22_40X_CTX2,1.1176470588235294,2.111111111111111,1.1694915254237288,2.106870229007633,9,8,17,236,1.3582229614257812,4.0191650390625,CTX2,22,2041,female,APP/PS1,good,optimal,optimal,True
40,DSB Iba1 22_40X_CTX3,0.8333333333333334,1.6666666666666667,0.4366197183098591,1.319148936170213,3,3,6,142,0.2514839172363281,0.730133056640625,CTX3,22,2041,female,APP/PS1,good,optimal,optimal,True
41,DSB Iba1 22_40X_DG,1.6,2.0,1.9672727272727275,2.2448132780082988,12,3,15,275,3.1919479370117188,5.748558044433594,DG,22,2041,female,APP/PS1,good,optimal,optimal,True
42,DSB Iba1 23_40X_CA1,0.75,3.0,0.7350427350427351,1.34375,1,3,4,117,0.5928993225097656,4.248046875,CA1,23,2042,male,APP/PS1,good,optimal,optimal,True
43,DSB Iba1 23_40X_CA3,0.3333333333333333,1.0,0.7804878048780488,1.4883720930232558,1,2,3,82,0.531768798828125,2.08120346069336,CA3,23,2042,male,APP/PS1,good,optimal,optimal,True
44,DSB Iba1 23_40X_CTX1,0.45,1.5,0.4339622641509434,1.1311475409836065,6,14,20,159,0.4361152648925781,5.792427062988281,CTX1,23,2042,male,APP/PS1,good,optimal,optimal,True
45,DSB Iba1 23_40X_CTX2,0.0,,0.1240875912408759,1.1333333333333333,0,2,2,137,0.0720024108886718,0.7174491882324219,CTX2,23,2042,male,APP/PS1,good,optimal,optimal,True
46,DSB Iba1 23_40X_CTX3,0.9333333333333332,1.4,0.8421052631578947,1.4545454545454546,10,5,15,133,0.6974220275878906,2.988147735595703,CTX3,23,2042,male,APP/PS1,good,optimal,optimal,True
47,DSB Iba1 23_40X_DG,1.625,2.888888888888889,1.2796934865900382,1.6135265700483092,9,7,16,261,1.8776893615722656,7.934856414794922,DG,23,2042,male,APP/PS1,good,optimal,optimal,True
48,DSB Iba1 24_40X_CA1,0.0,,0.7045454545454546,1.631578947368421,0,7,7,132,0.4246711730957031,0.7791519165039062,CA1,24,887,male,APP/PS1,good,optimal,optimal,True
49,DSB Iba1 24_40X_CA3,0.0,,0.76,1.4615384615384617,0,1,1,75,0.2900123596191406,0.9073257446289062,CA3,24,887,male,APP/PS1,good,optimal,optimal,True
50,DSB Iba1 24_40X_CTX1,0.0,,0.2786885245901639,1.2592592592592593,0,12,12,122,0.2356529235839843,1.7583847045898438,CTX1,24,887,male,APP/PS1,good,optimal,optimal,True
51,DSB Iba1 24_40X_CTX2,0.4615384615384615,1.2,0.5275229357798165,1.3218390804597702,10,16,26,218,0.5938529968261719,3.3802032470703125,CTX2,24,887,male,APP/PS1,good,optimal,optimal,True
52,DSB Iba1 24_40X_CTX3,0.0666666666666666,1.0,0.5953757225433526,1.8070175438596487,1,14,15,173,0.5388259887695312,1.4982223510742188,CTX3,24,887,male,APP/PS1,good,optimal,optimal,True
53,DSB Iba1 24_40X_DG,0.0,,0.2214765100671141,1.5714285714285714,0,5,5,149,0.1180648803710937,0.8672714233398438,DG,24,887,male,APP/PS1,good,optimal,optimal,True
54,DSB Iba1 25_40X_CA1,0.8571428571428571,1.5,1.7238805970149254,2.31,4,3,7,134,1.3138771057128906,3.17068099975586,CA1,25,2014,male,APP/PS1,good,optimal,optimal,True
55,DSB Iba1 25_40X_CA3,0.75,1.5,1.9,3.0,4,4,8,120,2.0705223083496094,2.813243865966797,CA3,25,2014,male,APP/PS1,good,optimal,optimal,True
56,DSB Iba1 25_40X_CTX1,0.9285714285714286,1.3,0.6979166666666666,1.2641509433962264,10,4,14,96,0.565338134765625,3.438568115234375,CTX1,25,2014,male,APP/PS1,good,optimal,optimal,True
57,DSB Iba1 25_40X_CTX2,0.8571428571428571,1.3333333333333333,1.875776397515528,2.603448275862069,9,5,14,161,1.6091346740722656,6.374835968017578,CTX2,25,2014,male,APP/PS1,good,optimal,optimal,True
58,DSB Iba1 25_40X_CTX3,2.375,3.8,2.30635838150289,3.069230769230769,5,3,8,173,1.6841888427734375,2.7411460876464844,CTX3,25,2014,male,APP/PS1,good,optimal,optimal,True
59,DSB Iba1 25_40X_DG,2.2142857142857144,2.583333333333333,2.458041958041958,2.673003802281369,12,2,14,286,4.139518737792969,3.351020812988281,DG,25,2014,male,APP/PS1,good,optimal,optimal,True
60,DSB Iba1 26_40X_CA1,1.9285714285714288,2.076923076923077,3.142857142857143,3.575,13,1,14,91,7.658481597900391,5.84564208984375,CA1,26,231,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
61,DSB Iba1 26_40X_CA3,4.142857142857143,4.142857142857143,4.638297872340425,5.069767441860465,7,0,7,47,14.291000366210938,6.870269775390625,CA3,26,231,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
62,DSB Iba1 26_40X_CTX1,1.7142857142857142,1.7142857142857142,2.472972972972973,2.506849315068493,14,0,14,74,48.14224243164063,11.133575439453123,CTX1,26,231,male,APP/PS1 x Neil3 KO,poor,optimal,suboptimal,False
63,DSB Iba1 26_40X_CTX2,1.75,1.75,2.656716417910448,2.656716417910448,16,0,16,67,50.63896179199219,13.045120239257812,CTX2,26,231,male,APP/PS1 x Neil3 KO,poor,optimal,suboptimal,False
64,DSB Iba1 26_40X_CTX3,1.6,1.6,2.1555555555555554,2.1555555555555554,30,0,30,90,60.15052795410156,27.424240112304688,CTX3,26,231,male,APP/PS1 x Neil3 KO,poor,suboptimal,suboptimal,False
65,DSB Iba1 26_40X_DG,3.5,3.769230769230769,3.979020979020979,4.3106060606060606,13,1,14,143,15.996170043945312,7.449054718017578,DG,26,231,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
66,DSB Iba1 27_40X_DG,1.5,1.5,2.210526315789474,2.3013698630136985,8,0,7,76,37.166595458984375,1.7447471618652344,DG,27,147,female,APP/PS1,poor,optimal,suboptimal,False
67,DSB Iba1 28_40X_CA1,0.3333333333333333,1.0,1.763157894736842,2.4814814814814814,1,2,3,38,1.17950439453125,2.5665283203125,CA1,28,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
68,DSB Iba1 28_40X_CA3,0.5,1.0,0.5967741935483871,1.48,1,1,2,62,1.036834716796875,2.448272705078125,CA3,28,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
69,DSB Iba1 28_40X_CTX1,0.4285714285714285,1.5,0.7865168539325843,1.5217391304347827,2,5,7,89,1.6277313232421875,3.2138824462890625,CTX1,28,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
70,DSB Iba1 28_40X_CTX2,1.0,2.0,1.0282485875706215,2.0,5,5,10,177,0.6724357604980469,2.5005340576171875,CTX2,28,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
71,DSB Iba1 28_40X_CTX3,1.1428571428571428,1.3333333333333333,1.3789473684210527,1.9264705882352944,6,1,7,190,0.9607315063476562,2.412891387939453,CTX3,28,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
