index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
124,DSB Iba1 37_40X_CTX2,1.3461538461538465,1.6666666666666667,2.05327868852459,2.4086538461538463,21,5,26,244,5.1082611083984375,6.322193145751953,CTX2,37,892,female,APP/PS1,good,optimal,optimal,True
125,DSB Iba1 37_40X_CTX3,0.8148148148148148,1.6923076923076923,1.3541666666666667,1.7567567567567568,13,14,27,144,3.800201416015625,5.652999877929688,CTX3,37,892,female,APP/PS1,good,optimal,optimal,True
126,DSB Iba1 37_40X_DG,2.5454545454545454,3.5,2.026595744680851,2.506578947368421,8,3,11,188,4.963588714599609,2.9592514038085938,DG,37,892,female,APP/PS1,good,optimal,optimal,True
128,DSB Iba1 39_40X_CA1,0.75,3.0,0.7159090909090909,1.1666666666666667,1,3,4,88,0.7749557495117188,1.2140274047851562,CA1,39,1989,female,APP/PS1,good,optimal,optimal,True
129,DSB Iba1 39_40X_CA3,0.5,1.0,0.7530864197530864,1.2448979591836735,2,2,4,81,1.0321617126464844,1.1082649230957031,CA3,39,1989,female,APP/PS1,good,optimal,optimal,True
130,DSB Iba1 39_40X_CTX1,0.0,,0.391304347826087,1.1020408163265305,0,4,4,138,0.4506111145019531,0.3711700439453125,CTX1,39,1989,female,APP/PS1,good,optimal,optimal,True
131,DSB Iba1 39_40X_CTX2,0.0,,0.3846153846153846,1.1403508771929824,0,5,5,169,0.3875732421875,0.3496170043945312,CTX2,39,1989,female,APP/PS1,good,optimal,optimal,True
132,DSB Iba1 39_40X_CTX3,0.3333333333333333,1.0,0.2635658914728682,1.0,1,2,3,129,0.2254486083984375,0.2208709716796875,CTX3,39,1989,female,APP/PS1,good,optimal,optimal,True
133,DSB Iba1 39_40X_DG,1.2222222222222223,1.5714285714285714,0.8848167539267016,1.4322033898305084,7,2,9,191,1.4722824096679688,1.7183303833007812,DG,39,1989,female,APP/PS1,good,optimal,optimal,True
134,DSB Iba1 40_40X_CA1,0.6666666666666666,1.0,0.4173228346456692,1.0816326530612246,2,1,3,127,0.4599571228027344,1.3429641723632812,CA1,40,2005,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
135,DSB Iba1 40_40X_CA3,0.625,1.0,0.7088607594936709,1.3333333333333333,5,3,8,79,0.5597114562988281,1.7145156860351562,CA3,40,2005,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
136,DSB Iba1 40_40X_CTX1,0.9047619047619048,1.5833333333333333,0.65625,1.3636363636363635,12,9,21,160,0.6749153137207031,3.7994384765625,CTX1,40,2005,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
137,DSB Iba1 40_40X_CTX2,0.8,1.7142857142857142,0.6451612903225806,1.2195121951219512,7,8,15,155,0.5100250244140625,3.754806518554688,CTX2,40,2005,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
138,DSB Iba1 40_40X_CTX3,1.4782608695652173,1.619047619047619,0.7176470588235294,1.297872340425532,21,2,23,170,0.711822509765625,4.794597625732422,CTX3,40,2005,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
139,DSB Iba1 40_40X_DG,1.0,1.5,1.2698412698412698,1.5384615384615383,2,1,3,252,2.08282470703125,0.7130622863769531,DG,40,2005,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
140,DSB Iba1 41_40X_CA1,0.0,,0.72,1.0975609756097562,0,1,1,125,0.7174491882324219,0.4645347595214844,CA1,41,1995,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
141,DSB Iba1 41_40X_CA3,1.0,1.0,0.5058823529411764,1.1944444444444444,1,0,1,85,0.4147529602050781,0.6657600402832031,CA3,41,1995,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
142,DSB Iba1 41_40X_CTX1,,,0.1052631578947368,1.0,0,0,0,114,0.066375732421875,0.0162124633789062,CTX1,41,1995,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
143,DSB Iba1 41_40X_CTX2,0.0,,0.1604938271604938,1.1304347826086956,0,4,4,162,0.0730514526367187,0.2507209777832031,CTX2,41,1995,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
144,DSB Iba1 41_40X_CTX3,0.8,1.3333333333333333,0.2123893805309734,1.1428571428571428,3,2,5,113,0.0868797302246093,0.83465576171875,CTX3,41,1995,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
