index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
46,DSB GFAP 18_40X_CTX3,0.875,1.5555555555555556,1.1871345029239766,1.9901960784313728,9,7,16,171,1.0884284973144531,10.713577270507812,CTX3,18,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
47,DSB GFAP 18_40X_DG,1.4090909090909092,2.3846153846153846,1.7951070336391437,2.2234848484848486,13,9,22,324,2.6693344116210938,7.671833038330078,DG,18,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
48,DSB GFAP 20_40X_CA1,0.0,,0.5862068965517241,1.4366197183098592,0,1,1,173,0.6194114685058594,0.46234130859375,CA1,20,887,male,APP/PS1,good,passed,optimal,optimal,False
49,DSB GFAP 20_40X_CA3,6.4,6.4,4.550898203592815,4.810126582278481,10,0,10,166,18.37244033813477,2.3604393005371094,CA3,20,887,male,APP/PS1,good,passed,optimal,optimal,False
50,DSB GFAP 20_40X_CTX1,3.0,3.0,2.4059040590405902,3.395833333333333,1,0,1,271,1.8895149230957031,0.4038810729980469,CTX1,20,887,male,APP/PS1,good,passed,optimal,optimal,False
51,DSB GFAP 20_40X_CTX2,5.071428571428571,5.461538461538462,3.287313432835821,3.362595419847328,13,1,14,268,27.326393127441406,6.314945220947266,CTX2,20,887,male,APP/PS1,good,passed,optimal,suboptimal,False
52,DSB GFAP 20_40X_CTX3,5.066666666666666,5.066666666666666,2.747422680412371,2.850267379679144,15,0,15,194,28.142356872558597,4.963207244873047,CTX3,20,887,male,APP/PS1,good,passed,optimal,suboptimal,False
53,DSB GFAP 20_40X_DG,2.7142857142857144,3.1666666666666665,2.836683417085427,3.4108761329305137,6,1,7,395,4.310417175292969,1.5550613403320312,DG,20,887,male,APP/PS1,good,passed,optimal,optimal,False
54,DSB GFAP 21_40X_CA1,1.0,1.0,0.5087719298245614,1.1153846153846154,1,0,1,114,0.4817962646484375,0.2859115600585937,CA1,21,2014,male,APP/PS1,good,passed,optimal,optimal,True
55,DSB GFAP 21_40X_CA3,0.0,,0.8526315789473684,1.5,0,3,3,95,0.7738113403320312,0.972747802734375,CA3,21,2014,male,APP/PS1,good,passed,optimal,optimal,True
56,DSB GFAP 21_40X_CTX1,0.0,,0.2868217054263566,1.1935483870967742,0,1,1,129,0.3319740295410156,0.7062911987304688,CTX1,21,2014,male,APP/PS1,good,passed,optimal,optimal,True
57,DSB GFAP 21_40X_CTX2,0.0,,0.3421052631578947,1.2682926829268293,0,3,3,152,0.3390312194824219,0.8353233337402344,CTX2,21,2014,male,APP/PS1,good,passed,optimal,optimal,True
58,DSB GFAP 21_40X_CTX3,2.0,2.0,0.2864583333333333,1.1702127659574468,1,0,1,192,0.4886627197265625,0.415802001953125,CTX3,21,2014,male,APP/PS1,good,passed,optimal,optimal,True
