index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
39,DSB Iba1 22_40X_CTX2,0.6470588235294118,1.375,0.6192170818505338,1.392,8,9,17,280,0.5146026611328125,4.387187957763672,CTX2,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
40,DSB Iba1 22_40X_CTX3,0.8888888888888888,2.0,0.2906976744186046,1.25,4,5,9,172,0.1000404357910156,0.6429672241210938,CTX3,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
41,DSB Iba1 22_40X_DG,0.9090909090909092,1.1111111111111112,1.240625,1.5753968253968254,9,2,11,320,1.319122314453125,6.211662292480469,DG,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
42,DSB Iba1 23_40X_CA1,0.2857142857142857,1.0,0.562962962962963,1.2063492063492065,2,5,7,135,0.26092529296875,5.074977874755859,CA1,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
43,DSB Iba1 23_40X_CA3,0.8571428571428571,2.0,0.5688073394495413,1.4090909090909092,3,4,7,109,0.2226829528808593,2.636909484863281,CA3,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
44,DSB Iba1 23_40X_CTX1,0.2962962962962963,1.1428571428571428,0.3096446700507614,1.0338983050847457,7,20,27,197,0.1782417297363281,5.862331390380859,CTX1,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
45,DSB Iba1 23_40X_CTX2,0.0,,0.0710659898477157,1.0769230769230769,0,8,8,197,0.0226020812988281,0.7157325744628906,CTX2,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
46,DSB Iba1 23_40X_CTX3,0.6,1.125,0.581081081081081,1.2285714285714286,8,7,15,148,0.235748291015625,3.418254852294922,CTX3,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
47,DSB Iba1 23_40X_DG,0.8333333333333334,1.6666666666666667,0.9136690647482014,1.3298429319371727,6,6,12,278,0.6613731384277344,7.174968719482422,DG,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
48,DSB Iba1 24_40X_CA1,0.0,,0.348314606741573,1.1071428571428572,0,8,8,178,0.1312255859375,0.924396514892578,CA1,24,887,male,APP/PS1,good,passed,optimal,optimal,True
49,DSB Iba1 24_40X_CA3,0.1666666666666666,1.0,0.3931034482758621,1.1875,1,5,6,145,0.1104354858398437,1.195049285888672,CA3,24,887,male,APP/PS1,good,passed,optimal,optimal,True
50,DSB Iba1 24_40X_CTX1,0.0,,0.1391304347826087,1.0,0,15,15,229,0.0873565673828125,1.5626907348632812,CTX1,24,887,male,APP/PS1,good,passed,optimal,optimal,True
51,DSB Iba1 24_40X_CTX2,0.3043478260869565,1.0,0.1605351170568562,1.0212765957446808,7,16,23,299,0.096893310546875,3.2674789428710938,CTX2,24,887,male,APP/PS1,good,passed,optimal,optimal,True
52,DSB Iba1 24_40X_CTX3,0.05,1.0,0.175438596491228,1.0810810810810811,1,19,20,228,0.0979423522949218,1.564311981201172,CTX3,24,887,male,APP/PS1,good,passed,optimal,optimal,True
53,DSB Iba1 24_40X_DG,0.1428571428571428,1.0,0.087431693989071,1.0666666666666669,1,6,7,183,0.0400543212890625,0.928497314453125,DG,24,887,male,APP/PS1,good,passed,optimal,optimal,True
54,DSB Iba1 25_40X_CA1,1.0,1.75,0.7716049382716049,1.3440860215053765,4,3,7,162,0.4874229431152344,3.6668777465820312,CA1,25,2014,male,APP/PS1,good,passed,optimal,optimal,True
55,DSB Iba1 25_40X_CA3,1.0,1.4285714285714286,0.785234899328859,1.5,7,3,10,149,0.4986763000488281,3.262901306152344,CA3,25,2014,male,APP/PS1,good,passed,optimal,optimal,True
56,DSB Iba1 25_40X_CTX1,0.375,1.0,0.4176470588235294,1.0597014925373134,9,15,24,170,0.2181053161621093,3.0353546142578125,CTX1,25,2014,male,APP/PS1,good,passed,optimal,optimal,True
57,DSB Iba1 25_40X_CTX2,0.9583333333333334,1.6428571428571428,0.7029702970297029,1.405940594059406,14,10,24,202,0.3881454467773437,6.1370849609375,CTX2,25,2014,male,APP/PS1,good,passed,optimal,optimal,True
58,DSB Iba1 25_40X_CTX3,0.5555555555555556,1.6666666666666667,0.8539823008849557,1.484615384615385,3,6,9,226,0.5010604858398438,3.020858764648437,CTX3,25,2014,male,APP/PS1,good,passed,optimal,optimal,True
59,DSB Iba1 25_40X_DG,1.0,1.5555555555555556,1.4242424242424243,1.692,9,5,14,297,1.6371726989746094,3.7715911865234375,DG,25,2014,male,APP/PS1,good,passed,optimal,optimal,True
60,DSB Iba1 26_40X_CA1,0.8888888888888888,1.6,0.4470588235294118,1.2666666666666666,5,4,9,85,0.2736091613769531,5.8551788330078125,CA1,26,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,True
