index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
32,DSB GFAP 106_40X_CTX1,0.3333333333333333,1.0,0.6964285714285714,1.238095238095238,2,126,4,6,224,0.653076171875,2.818584442138672,0.3333333333333333,0.5625,CTX1,106,2140,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
33,DSB GFAP 106_40X_CTX2,0.55,1.8333333333333333,0.7635467980295566,1.3478260869565215,6,115,14,20,203,0.5952835083007812,6.494140625,0.3,0.5665024630541872,CTX2,106,2140,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
34,DSB GFAP 106_40X_CTX3,0.3636363636363636,1.0,0.6540880503144654,1.3164556962025316,4,79,7,11,159,0.4657745361328125,3.351593017578125,0.3636363636363636,0.4968553459119497,CTX3,106,2140,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
35,DSB GFAP 106_40X_DG,0.9333333333333332,1.5555555555555556,1.0105263157894735,1.4222222222222225,9,270,6,15,379,1.666545867919922,5.525493621826172,0.6,0.712401055408971,DG,106,2140,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
36,DSB GFAP 107_40X_CA1,0.3333333333333333,1.0,0.518324607329843,1.137931034482759,3,87,6,9,191,0.5602836608886719,1.7574310302734375,0.3333333333333333,0.4554973821989528,CA1,107,2122,male,APP/PS1,good,passed,optimal,optimal,True
37,DSB GFAP 107_40X_CA3,0.3,1.5,0.7131782945736435,1.4375,2,64,8,10,129,0.391387939453125,2.844524383544922,0.2,0.4961240310077519,CA3,107,2122,male,APP/PS1,good,passed,optimal,optimal,True
38,DSB GFAP 107_40X_CTX1,0.4,1.3333333333333333,0.4541062801932367,1.146341463414634,3,82,7,10,207,0.3975868225097656,4.407787322998047,0.3,0.3961352657004831,CTX1,107,2122,male,APP/PS1,good,passed,optimal,optimal,True
39,DSB GFAP 107_40X_CTX2,0.9090909090909092,1.25,0.8609022556390977,1.387878787878788,8,165,3,11,266,0.8997917175292969,4.0103912353515625,0.7272727272727273,0.6203007518796992,CTX2,107,2122,male,APP/PS1,good,passed,optimal,optimal,True
40,DSB GFAP 107_40X_CTX3,0.3076923076923077,1.3333333333333333,0.7056451612903226,1.2962962962962965,3,135,10,13,248,0.7350921630859375,4.625034332275391,0.2307692307692307,0.5443548387096774,CTX3,107,2122,male,APP/PS1,good,passed,optimal,optimal,True
41,DSB GFAP 107_40X_DG,0.5714285714285714,1.3333333333333333,0.9631336405529954,1.3571428571428572,9,308,12,21,431,1.6450881958007812,6.399822235107422,0.4285714285714285,0.7146171693735499,DG,107,2122,male,APP/PS1,good,passed,optimal,optimal,True
42,DSB GFAP 108_40X_CA1,0.3,1.0,0.4880952380952381,1.1549295774647887,3,71,7,10,168,0.5014419555664062,3.70941162109375,0.3,0.4226190476190476,CA1,108,2141,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
43,DSB GFAP 108_40X_CA3,0.0,,0.7096774193548387,1.8333333333333333,0,48,7,7,124,0.3876686096191406,2.22940444946289,0.0,0.3870967741935484,CA3,108,2141,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
44,DSB GFAP 108_40X_CTX1,0.3571428571428571,1.0,0.3898305084745763,1.0147058823529411,5,68,9,14,177,0.3694534301757812,3.809356689453125,0.3571428571428571,0.384180790960452,CTX1,108,2141,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
45,DSB GFAP 108_40X_CTX2,0.6666666666666666,1.0,0.7241379310344828,1.26,6,150,3,9,261,0.6857872009277344,5.001640319824219,0.6666666666666666,0.5747126436781609,CTX2,108,2141,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
46,DSB GFAP 108_40X_CTX3,0.1538461538461538,1.0,0.4805194805194805,1.1044776119402986,2,67,11,13,154,0.344085693359375,5.422782897949219,0.1538461538461538,0.435064935064935,CTX3,108,2141,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
47,DSB GFAP 108_40X_DG,0.9,1.8,1.267813267813268,1.5087719298245614,5,342,5,10,407,2.307891845703125,3.036975860595703,0.5,0.8402948402948403,DG,108,2141,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
48,DSB GFAP 10_40X_CA1,,,0.3879781420765027,1.0441176470588236,0,68,0,0,183,0.3535270690917969,0.2612113952636719,,0.3715846994535519,CA1,10,887,male,APP/PS1,good,passed,optimal,optimal,True
49,DSB GFAP 10_40X_CA3,0.2857142857142857,2.0,0.6590909090909091,1.3975903614457832,1,83,6,7,175,0.5153656005859375,1.0457992553710938,0.1428571428571428,0.4742857142857143,CA3,10,887,male,APP/PS1,good,passed,optimal,optimal,True
50,DSB GFAP 10_40X_CTX1,,,0.4613259668508287,1.1208053691275168,0,149,0,0,362,0.4693984985351562,0.119781494140625,,0.4116022099447514,CTX1,10,887,male,APP/PS1,good,passed,optimal,optimal,True
51,DSB GFAP 10_40X_CTX2,0.3333333333333333,1.0,0.7169230769230769,1.386904761904762,1,168,2,3,325,0.5901336669921875,1.10015869140625,0.3333333333333333,0.5169230769230769,CTX2,10,887,male,APP/PS1,good,passed,optimal,optimal,True
52,DSB GFAP 10_40X_CTX3,0.25,1.0,0.9170731707317074,1.413533834586466,1,133,3,4,205,0.7015228271484375,2.355480194091797,0.25,0.6487804878048781,CTX3,10,887,male,APP/PS1,good,passed,optimal,optimal,True
53,DSB GFAP 10_40X_DG,0.3333333333333333,1.0,1.1666666666666667,1.5190615835777126,2,341,4,6,443,1.5699386596679688,1.6019821166992188,0.3333333333333333,0.7697516930022573,DG,10,887,male,APP/PS1,good,passed,optimal,optimal,True
54,DSB GFAP 11_40X_CA1,1.0,1.6666666666666667,0.8208955223880597,1.2359550561797752,6,89,4,10,134,0.5736351013183594,3.786659240722656,0.6,0.664179104477612,CA1,11,2014,male,APP/PS1,good,passed,optimal,optimal,True
55,DSB GFAP 11_40X_CA3,1.25,2.0,0.9891304347826086,1.5964912280701755,5,57,3,8,92,0.4551887512207031,2.1776199340820312,0.625,0.6195652173913043,CA3,11,2014,male,APP/PS1,good,passed,optimal,optimal,True
56,DSB GFAP 11_40X_CTX1,0.4285714285714285,1.0,0.5118110236220472,1.181818181818182,3,55,4,7,127,0.246429443359375,3.3753395080566406,0.4285714285714285,0.4330708661417323,CTX1,11,2014,male,APP/PS1,good,passed,optimal,optimal,True
57,DSB GFAP 11_40X_CTX2,0.5,1.0,0.5416666666666666,1.1584158415841583,3,101,3,6,216,0.438690185546875,2.071762084960937,0.5,0.4675925925925926,CTX2,11,2014,male,APP/PS1,good,passed,optimal,optimal,True
58,DSB GFAP 11_40X_CTX3,1.0,1.5,0.603448275862069,1.1797752808988764,4,89,2,6,174,0.4511833190917969,2.2012710571289062,0.6666666666666666,0.5114942528735632,CTX3,11,2014,male,APP/PS1,good,passed,optimal,optimal,True
59,DSB GFAP 11_40X_DG,0.8333333333333334,1.25,0.970472440944882,1.2905759162303665,4,382,2,6,508,1.663494110107422,3.403759002685547,0.6666666666666666,0.7519685039370079,DG,11,2014,male,APP/PS1,good,passed,optimal,optimal,True
60,DSB GFAP 12_40X_CA1,1.2857142857142858,1.5,0.852112676056338,1.3908045977011494,6,87,1,7,142,0.4827499389648437,1.824378967285156,0.8571428571428571,0.6126760563380281,CA1,12,2041,female,APP/PS1,good,passed,optimal,optimal,True
61,DSB GFAP 12_40X_CA3,1.0,1.0,0.7244897959183674,1.392156862745098,2,51,0,2,98,0.4215240478515625,0.6435394287109375,1.0,0.5204081632653061,CA3,12,2041,female,APP/PS1,good,passed,optimal,optimal,True
62,DSB GFAP 12_40X_CTX1,1.25,1.6666666666666667,0.6,1.108108108108108,3,111,1,4,205,0.5250930786132812,1.4176368713378906,0.75,0.5414634146341464,CTX1,12,2041,female,APP/PS1,good,passed,optimal,optimal,True
63,DSB GFAP 12_40X_CTX2,1.0,1.0,0.6976744186046512,1.2195121951219512,1,123,0,1,215,0.506591796875,0.6220817565917969,1.0,0.5720930232558139,CTX2,12,2041,female,APP/PS1,good,passed,optimal,optimal,True
64,DSB GFAP 12_40X_CTX3,1.0,2.0,0.7929515418502202,1.3333333333333333,1,135,1,2,227,0.6685256958007812,0.6175994873046875,0.5,0.5947136563876652,CTX3,12,2041,female,APP/PS1,good,passed,optimal,optimal,True
65,DSB GFAP 12_40X_DG,0.9545454545454546,1.4,1.1371158392434988,1.4891640866873066,15,323,7,22,421,1.5211105346679688,4.060173034667969,0.6818181818181818,0.7672209026128266,DG,12,2041,female,APP/PS1,good,passed,optimal,optimal,True
66,DSB GFAP 13_40X_CA1,0.0,,0.4214285714285714,1.1346153846153846,0,52,3,3,140,0.1562118530273437,1.4364242553710938,0.0,0.3714285714285714,CA1,13,231,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
67,DSB GFAP 13_40X_CA3,0.3333333333333333,2.0,0.9767441860465116,1.4823529411764709,1,85,5,6,129,0.3890037536621094,3.690719604492188,0.1666666666666666,0.6589147286821705,CA3,13,231,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
68,DSB GFAP 13_40X_CTX1,0.0,,0.3950617283950617,1.1851851851851851,0,54,8,8,162,0.1530647277832031,4.6451568603515625,0.0,0.3333333333333333,CTX1,13,231,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
69,DSB GFAP 13_40X_CTX2,0.0,,0.4488188976377952,1.163265306122449,0,49,6,6,127,0.1454353332519531,1.823139190673828,0.0,0.3858267716535433,CTX2,13,231,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
70,DSB GFAP 13_40X_CTX3,0.0,,0.4262295081967213,1.238095238095238,0,42,4,4,122,0.150299072265625,1.6950607299804688,0.0,0.3442622950819672,CTX3,13,231,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
71,DSB GFAP 13_40X_DG,0.2777777777777778,1.25,0.5342019543973942,1.2713178294573644,4,129,14,18,307,0.2482414245605468,5.682182312011719,0.2222222222222222,0.4201954397394137,DG,13,231,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
72,DSB GFAP 14_40X_CA1,0.8,1.0,0.8389830508474576,1.1927710843373494,8,83,2,10,118,0.5146980285644531,2.242565155029297,0.8,0.7033898305084746,CA1,14,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
73,DSB GFAP 14_40X_CA3,1.2,1.5,0.967741935483871,1.5254237288135593,4,59,1,5,93,0.4983901977539062,1.7438888549804688,0.8,0.6344086021505376,CA3,14,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
74,DSB GFAP 14_40X_CTX1,0.75,1.2,0.7426900584795322,1.3655913978494625,5,93,3,8,171,0.5137443542480469,2.1585464477539062,0.625,0.543859649122807,CTX1,14,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
75,DSB GFAP 14_40X_CTX2,0.5384615384615384,1.0,0.7953488372093023,1.2761194029850746,7,134,6,13,215,0.7006645202636719,3.577709197998047,0.5384615384615384,0.6232558139534884,CTX2,14,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
76,DSB GFAP 14_40X_CTX3,0.2,1.0,0.8580246913580247,1.5274725274725274,1,91,4,5,161,0.4778861999511719,1.31683349609375,0.2,0.5652173913043478,CTX3,14,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
77,DSB GFAP 14_40X_DG,1.1304347826086956,1.7333333333333334,1.098666666666667,1.401360544217687,15,294,8,23,374,1.6267776489257812,5.574798583984375,0.6521739130434783,0.786096256684492,DG,14,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
78,DSB GFAP 15_40X_CA1,0.7,1.0,0.7225433526011561,1.1160714285714286,7,112,3,10,173,0.7039070129394531,1.6439437866210938,0.7,0.6473988439306358,CA1,15,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
79,DSB GFAP 15_40X_CA3,0.625,1.0,0.946153846153846,1.4470588235294115,5,85,3,8,130,0.5922317504882812,1.771259307861328,0.625,0.6538461538461539,CA3,15,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
80,DSB GFAP 15_40X_CTX1,0.3333333333333333,1.0,0.6923076923076923,1.2781065088757395,1,169,2,3,312,0.8486747741699219,0.2964019775390625,0.3333333333333333,0.5416666666666666,CTX1,15,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
81,DSB GFAP 15_40X_CTX2,0.5,1.0,0.82,1.3225806451612905,5,124,5,10,200,0.6150245666503906,1.8911361694335935,0.5,0.62,CTX2,15,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
82,DSB GFAP 15_40X_CTX3,1.4285714285714286,1.6666666666666667,0.75,1.3012048192771084,6,83,1,7,144,0.4511833190917969,2.537822723388672,0.8571428571428571,0.5763888888888888,CTX3,15,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
83,DSB GFAP 15_40X_DG,1.0,1.0,1.056470588235294,1.3363095238095235,2,336,0,2,422,1.8533706665039065,1.705169677734375,1.0,0.7962085308056872,DG,15,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
84,DSB GFAP 16_40X_CA1,0.0,,0.4411764705882353,1.25,0,48,7,7,136,0.2294540405273437,1.6312599182128906,0.0,0.3529411764705882,CA1,16,2042,male,APP/PS1,good,passed,optimal,optimal,True
85,DSB GFAP 16_40X_CA3,0.0,,0.8469387755102041,1.456140350877193,0,114,6,6,196,0.6850242614746094,1.0889053344726562,0.0,0.5816326530612245,CA3,16,2042,male,APP/PS1,good,passed,optimal,optimal,True
86,DSB GFAP 16_40X_CTX1,0.2,2.0,0.4123222748815165,1.0740740740740742,1,81,9,10,211,0.2105712890625,3.062725067138672,0.1,0.3838862559241706,CTX1,16,2042,male,APP/PS1,good,passed,optimal,optimal,True
87,DSB GFAP 16_40X_CTX2,0.375,1.5,0.456221198156682,1.1785714285714286,2,84,6,8,217,0.3108024597167969,2.2581100463867188,0.25,0.3870967741935484,CTX2,16,2042,male,APP/PS1,good,passed,optimal,optimal,True
88,DSB GFAP 16_40X_CTX3,,,0.4330357142857143,1.1829268292682926,0,82,0,0,224,0.3330230712890625,0.4387855529785156,,0.3660714285714285,CTX3,16,2042,male,APP/PS1,good,passed,optimal,optimal,True
89,DSB GFAP 16_40X_DG,0.5,1.6666666666666667,0.7433862433862434,1.3069767441860465,3,215,7,10,376,0.5634307861328125,3.368377685546875,0.3,0.5718085106382979,DG,16,2042,male,APP/PS1,good,passed,optimal,optimal,True
90,DSB GFAP 18_40X_CA1,0.5555555555555556,1.0,0.54421768707483,1.1428571428571428,5,70,4,9,147,0.3782272338867187,1.8751144409179688,0.5555555555555556,0.4761904761904761,CA1,18,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
91,DSB GFAP 18_40X_CA3,0.2222222222222222,1.0,0.7863247863247863,1.4603174603174602,2,63,7,9,117,0.5087852478027344,2.7780532836914062,0.2222222222222222,0.5384615384615384,CA3,18,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
92,DSB GFAP 18_40X_CTX1,0.0,,0.4866071428571428,1.1354166666666667,0,96,2,2,224,0.2523422241210937,0.6608963012695312,0.0,0.4285714285714285,CTX1,18,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
93,DSB GFAP 18_40X_CTX2,0.6923076923076923,1.125,0.6492146596858639,1.2783505154639174,8,97,5,13,191,0.4124641418457031,3.429794311523437,0.6153846153846154,0.5078534031413613,CTX2,18,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
94,DSB GFAP 18_40X_CTX3,0.625,1.4285714285714286,0.7134502923976608,1.4698795180722892,7,83,9,16,171,0.3830909729003906,10.713577270507812,0.4375,0.4853801169590643,CTX3,18,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
95,DSB GFAP 18_40X_DG,0.6363636363636364,1.4,1.162079510703364,1.5702479338842976,10,242,12,22,324,0.8826255798339844,7.671833038330078,0.4545454545454545,0.7469135802469136,DG,18,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
