index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
62,DSB Iba1 26_40X_CTX1,2.4166666666666665,2.4166666666666665,2.8,2.826923076923077,12,0,12,105,48.14224243164063,11.133575439453123,CTX1,26,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,suboptimal,False
63,DSB Iba1 26_40X_CTX2,2.333333333333333,2.333333333333333,2.663265306122449,2.663265306122449,18,0,18,98,50.63896179199219,13.045120239257812,CTX2,26,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,suboptimal,False
64,DSB Iba1 26_40X_CTX3,2.7333333333333334,2.827586206896552,2.305555555555556,2.3271028037383177,29,1,30,108,60.15052795410156,27.424240112304688,CTX3,26,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,suboptimal,False
65,DSB Iba1 26_40X_DG,4.545454545454546,4.545454545454546,3.785234899328859,4.147058823529412,11,0,11,149,15.996170043945312,7.449054718017578,DG,26,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
66,DSB Iba1 27_40X_DG,3.0,3.0,2.108910891089109,2.2421052631578946,3,0,3,101,37.166595458984375,1.7447471618652344,DG,27,147,female,APP/PS1,poor,passed,optimal,optimal,True
67,DSB Iba1 28_40X_CA1,0.0,,1.1587301587301588,1.697674418604651,0,2,2,63,1.17950439453125,2.5665283203125,CA1,28,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
68,DSB Iba1 28_40X_CA3,1.0,1.0,0.6133333333333333,1.3529411764705883,2,0,2,75,1.036834716796875,2.448272705078125,CA3,28,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
69,DSB Iba1 28_40X_CTX1,0.5,1.5,0.7339449541284404,1.509433962264151,2,4,6,109,1.6277313232421875,3.2138824462890625,CTX1,28,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
70,DSB Iba1 28_40X_CTX2,0.8461538461538461,1.8333333333333333,0.92018779342723,1.96,6,7,13,213,0.6724357604980469,2.5005340576171875,CTX2,28,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
71,DSB Iba1 28_40X_CTX3,1.0,1.3333333333333333,1.2710280373831775,1.8630136986301369,9,3,12,214,0.9607315063476562,2.412891387939453,CTX3,28,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
72,DSB Iba1 28_40X_DG,2.083333333333333,2.272727272727273,2.745173745173745,2.9873949579831933,11,1,12,259,4.607105255126953,7.0148468017578125,DG,28,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
73,DSB Iba1 29_40X_CA1,1.4444444444444444,1.8571428571428568,0.8074074074074075,1.313253012048193,7,2,9,135,0.8039474487304688,2.208709716796875,CA1,29,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
74,DSB Iba1 29_40X_CA3,1.0,1.25,0.6416666666666667,1.4,4,1,5,120,0.6873130798339844,1.9129753112792969,CA3,29,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
75,DSB Iba1 29_40X_CTX1,1.0952380952380951,1.9166666666666667,0.8080808080808081,1.509433962264151,12,9,21,198,0.9842872619628906,5.022335052490234,CTX1,29,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
76,DSB Iba1 29_40X_CTX2,1.3636363636363635,1.875,1.1959798994974875,1.7246376811594204,16,6,22,199,1.365375518798828,7.678985595703125,CTX2,29,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
77,DSB Iba1 29_40X_CTX3,1.0714285714285714,1.3636363636363635,0.6011560693641619,1.3333333333333333,11,3,14,173,0.4662513732910156,3.7689208984375,CTX3,29,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
78,DSB Iba1 29_40X_DG,1.2,1.5,1.2078853046594982,1.589622641509434,4,1,5,279,2.083301544189453,2.2146224975585938,DG,29,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
79,DSB Iba1 30_40X_CA1,0.0,,0.5572519083969466,1.351851851851852,0,7,7,131,0.4213333129882812,1.6625404357910156,CA1,30,2041,female,APP/PS1,good,passed,optimal,optimal,True
80,DSB Iba1 30_40X_CA3,0.8,1.3333333333333333,0.7980769230769231,1.537037037037037,3,2,5,104,0.7200241088867188,1.3019561767578125,CA3,30,2041,female,APP/PS1,good,passed,optimal,optimal,True
81,DSB Iba1 30_40X_CTX1,1.0,2.1,0.4790697674418605,1.2409638554216869,10,11,21,215,0.4976272583007812,2.780723571777344,CTX1,30,2041,female,APP/PS1,good,passed,optimal,optimal,True
