filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells
DSB Iba1 103_40X_CTX3,1.7142857142857142,1.8,0.9247311827956989,1.5221238938053097,20,113,1,21,186,1.5970230102539062,3.2652854919433594,0.9523809523809523,0.6075268817204301
DSB Iba1 103_40X_DG,0.8235294117647058,1.1666666666666667,1.4065281899109792,1.6573426573426573,12,286,5,17,337,4.351615905761719,4.039478302001953,0.7058823529411765,0.8486646884272997
DSB Iba1 104_40X_CA1,0.5454545454545454,1.2,0.582010582010582,1.1111111111111112,5,99,6,11,188,1.6148567199707031,2.782154083251953,0.45454545454545453,0.526595744680851
DSB Iba1 104_40X_CA3,0.6666666666666666,1.2,1.2662337662337662,1.7889908256880733,5,109,4,9,154,1.8998146057128906,3.15399169921875,0.5555555555555556,0.7077922077922078
DSB Iba1 104_40X_CTX1,1.0714285714285714,1.5,0.765625,1.2894736842105263,20,114,8,28,192,1.8528938293457031,3.2955169677734375,0.7142857142857143,0.59375
DSB Iba1 104_40X_CTX2,1.631578947368421,2.066666666666667,1.1553398058252426,1.75,15,136,4,19,205,2.130413055419922,2.22320556640625,0.7894736842105263,0.6634146341463415
DSB Iba1 104_40X_CTX3,0.9285714285714286,1.3,0.84,1.381578947368421,10,76,4,14,125,1.1771202087402344,1.9237518310546875,0.7142857142857143,0.608
DSB Iba1 104_40X_DG,0.5,2.0,1.1826625386996905,1.6050420168067228,2,238,6,8,323,3.223705291748047,2.1027565002441406,0.25,0.7368421052631579
DSB Iba1 105_40X_CA1,0.5,1.5,0.6166666666666667,1.1746031746031746,2,63,4,6,120,0.9904861450195312,1.6747474670410156,0.3333333333333333,0.525
DSB Iba1 105_40X_CA3,0.7142857142857143,1.0,0.7849462365591398,1.4313725490196079,5,51,2,7,93,0.8818626403808594,2.7174949645996094,0.7142857142857143,0.5483870967741935
DSB Iba1 105_40X_CTX1,0.9090909090909091,1.5384615384615385,0.47953216374269003,1.1884057971014492,13,69,9,22,171,0.6269454956054688,2.496623992919922,0.5909090909090909,0.40350877192982454
DSB Iba1 105_40X_CTX2,1.368421052631579,1.7333333333333334,1.125,1.736842105263158,15,114,4,19,176,1.6535758972167969,3.5526275634765625,0.7894736842105263,0.6477272727272727
DSB Iba1 105_40X_CTX3,1.4583333333333333,1.75,0.9230769230769231,1.5384615384615385,20,117,4,24,195,1.6644477844238281,2.9964447021484375,0.8333333333333334,0.6
DSB Iba1 106_40X_CA1,0.14285714285714285,1.0,0.42948717948717946,1.098360655737705,1,61,6,7,156,0.8664131164550781,1.0844230651855469,0.14285714285714285,0.391025641025641
DSB Iba1 106_40X_CA3,0.5,1.0,0.7017543859649122,1.3333333333333333,1,60,1,2,114,0.6819725036621094,0.821685791015625,0.5,0.5263157894736842
DSB Iba1 106_40X_CTX1,0.45454545454545453,1.25,0.5714285714285714,1.1666666666666667,4,96,7,11,196,1.1014938354492188,1.4286994934082031,0.36363636363636365,0.4897959183673469
