index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
40,DSB Iba1 107_40X_DG,0.9333333333333332,1.5555555555555556,1.2686567164179106,1.5625,9,272,6,15,333,3.922653198242188,2.3932456970214844,0.6,0.8168168168168168,DG,107,2122,male,APP/PS1,good,passed,optimal,optimal,True
41,DSB Iba1 108_40X_CA1,0.6666666666666666,2.0,0.6598639455782312,1.2125,1,80,2,3,147,1.2656211853027344,0.8889198303222656,0.3333333333333333,0.54421768707483,CA1,108,2141,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
42,DSB Iba1 108_40X_CA3,1.4,1.75,1.054054054054054,1.8870967741935485,4,62,1,5,111,1.3545036315917969,1.900959014892578,0.8,0.5585585585585585,CA3,108,2141,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
43,DSB Iba1 108_40X_CTX1,0.6428571428571429,1.125,0.5063291139240507,1.2307692307692308,8,65,6,14,158,0.7935523986816406,1.8342018127441408,0.5714285714285714,0.4113924050632911,CTX1,108,2141,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
44,DSB Iba1 108_40X_CTX2,1.181818181818182,1.3,1.1487179487179486,1.763779527559055,10,127,1,11,195,1.9483566284179688,2.82144546508789,0.9090909090909092,0.6512820512820513,CTX2,108,2141,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
45,DSB Iba1 108_40X_CTX3,1.5,1.9090909090909087,0.9709302325581396,1.518181818181818,11,110,3,14,172,1.239776611328125,2.002143859863281,0.7857142857142857,0.6395348837209303,CTX3,108,2141,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
46,DSB Iba1 108_40X_DG,0.9,1.2857142857142858,1.2449438202247192,1.5261707988980715,7,363,3,10,443,4.4620513916015625,2.399921417236328,0.7,0.8194130925507901,DG,108,2141,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
47,DSB Iba1 16_40X_CA1,0.9365079365079364,1.923913043478261,0.8362068965517241,1.7962962962962965,92,108,97,189,232,1.0966300964355469,88.63372802734375,0.4867724867724867,0.4655172413793103,CA1,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
48,DSB Iba1 16_40X_CA3,4.513513513513513,4.7175141242937855,4.40625,4.726256983240224,177,179,8,185,192,18.227672576904297,96.34952545166016,0.9567567567567568,0.9322916666666666,CA3,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
49,DSB Iba1 16_40X_CTX1,0.6428571428571429,1.6875,0.6483516483516484,1.8829787234042556,16,94,26,42,272,0.8442878723144531,13.59844207763672,0.3809523809523809,0.3455882352941176,CTX1,16,887,male,APP/PS1,poor,failed,optimal,optimal,False
50,DSB Iba1 16_40X_CTX2,2.240663900414938,2.26890756302521,2.327067669172932,2.38996138996139,238,259,3,241,266,39.40544128417969,94.93074417114258,0.9875518672199172,0.9736842105263158,CTX2,16,887,male,APP/PS1,poor,failed,suboptimal,suboptimal,False
51,DSB Iba1 16_40X_CTX3,2.019230769230769,2.1,1.7385892116182573,2.053921568627451,100,204,4,104,241,9.070396423339844,54.76894378662109,0.9615384615384616,0.8464730290456431,CTX3,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
52,DSB Iba1 16_40X_DG,0.6628959276018099,1.3820754716981132,0.6535087719298246,1.3796296296296295,212,216,230,438,452,1.1308670043945312,87.15362548828125,0.4840182648401826,0.4778761061946903,DG,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
53,DSB Iba1 17_40X_CA1,1.818181818181818,2.5,2.76530612244898,3.985294117647059,8,136,3,11,196,2.456283569335937,5.763816833496094,0.7272727272727273,0.6938775510204082,CA1,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
